判定,搜索词,12月机会单,12月大盘成交,我成交份额%,我12月成交,覆盖月数,曝光份额%,点击份额%,成交份额%,最大漏点,竞品前3集中度%,头号竞品ASIN,竞品品牌(约),竞品趋势,应战型号,该ASIN成交价$,大盘点击中位$,该ASIN毛利%,运营,毛利闸
次选/机会池,rhm karaoke machine,107,108,0.9,1,12,13.9,2.4,0.9,曝光→点击,70.6,B07RB5BHYV,RHM,样本不足,—,,289,,—,—
守·领先词,karaoke machine with screen lyrics display,107,138,22.5,31,12,19.1,16.4,22.5,曝光→点击,28.6,B0FQCFZCS8,PPMIC,样本不足,S2,249,129,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,singtrix karaoke system,106,111,4.5,5,12,17.4,6.3,4.5,曝光→点击,84.5,B00JBJ2HNO,Singtrix,样本不足,X2,332,399,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,christmas karaoke,106,107,0.9,1,2,3.2,1.1,0.9,曝光→点击,51.5,B0DQFF6YVZ,—,样本不足,—,,20,,—,—
次选/机会池,karaoke box,104,108,3.7,4,12,6.4,4.6,3.7,曝光→点击,21.9,B0D1VJMSQG,BEILIHART,样本不足,S2,223,59,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke machine microphone,102,102,0.0,0,3,1.8,1.3,0.0,点击→成交,46.6,B08QSJMHKW,YIOWNER,样本不足,—,,18,,—,—
次选/机会池,bluetooth karaoke speaker with microphone,102,102,0.0,0,7,1.6,1.1,0.0,点击→成交,28.5,B0D1VJMSQG,BEILIHART,样本不足,—,,59,,—,—
守·领先词,professional karaoke machine,102,126,19.0,24,12,13.3,14.2,19.0,曝光→点击,27.5,B0DPMPYVHB,Ikarao,样本不足,X2,349,354,18.6,赵健宏,薄利·冲量看7%线
守·领先词,pro karaoke machine for adults,98,114,14.0,16,12,17.6,16.1,14.0,点击→成交,35.2,B0D1VJMSQG,Ikarao,样本不足,X2,332,129,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,karaoke for kids,95,95,0.0,0,2,1.2,0.2,0.0,曝光→点击,25.7,B0CHS2VNHC,YLL,→稳,—,,21,,—,—
守·领先词,professional karaoke machine system,95,110,13.6,15,9,13.4,11.4,13.6,曝光→点击,28.9,B0D1VJMSQG,Ikarao,样本不足,X2,349,299,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke mixer system,93,93,0.0,0,10,2.5,0.7,0.0,曝光→点击,23.4,B09WL9Y58F,Sound Town,样本不足,—,,96,,—,—
放弃·他人品牌词,karafun karaoke machine,92,142,35.2,50,12,31.4,47.4,35.2,点击→成交,57.0,B0CGRRGY6S,Ikarao,样本不足,S2,248,175,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,voice changer karaoke machine,92,92,0.0,0,1,5.6,0.5,0.0,曝光→点击,50.8,B0CNX6MMK3,BEILIHART,样本不足,—,,23,,—,—
放弃·他人品牌词,karaoke jbl,91,93,2.2,2,12,4.4,2.3,2.2,曝光→点击,35.4,B0CW89H6L6,JBL,↓降,X2,332,299,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,karaoke accessories for adults,90,90,0.0,0,1,2.3,0.4,0.0,曝光→点击,32.9,B0827DTBS4,Game That Song,样本不足,—,,19,,—,—
放弃·他人品牌词,tonor k20 wireless karaoke machine,84,93,9.7,9,12,17.3,8.4,9.7,曝光→点击,78.8,B083LPYPS9,TONOR,样本不足,S1,272,199,27.0,赵健宏,毛利可撑
次选/机会池,karaoke machine with lyrics,82,93,11.8,11,12,20.2,14.8,11.8,曝光→点击,30.4,B0DVQBCC47,PPMIC,样本不足,S2,223,99,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke speakers,82,84,2.4,2,12,2.3,1.9,2.4,曝光→点击,17.9,B07G45QZM3,Rockville,样本不足,X2,366,159,18.6,赵健宏,薄利·冲量看7%线
放弃·他人品牌词,the singing machine karaoke,81,82,1.2,1,11,9.2,2.8,1.2,曝光→点击,68.8,B0DFPG9PJN,Singing Machine,样本不足,—,,129,,—,—
儿童·Q4新品,girls karaoke machine,81,81,0.0,0,1,0.3,0.4,0.0,点击→成交,29.1,B0CHS2VNHC,YLL,样本不足,—,,23,,—,—
守·领先词,karaoke portable systems,80,100,20.0,20,12,10.8,12.9,20.0,曝光→点击,19.7,B0CNX6MMK3,Ikarao,样本不足,S2,249,101,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,karaoke machine for adults jbl,80,80,0.0,0,12,5.6,3.6,0.0,点击→成交,25.1,B0CW89H6L6,JBL,样本不足,—,,199,,—,—
数据薄·观察,karaoke machine with voice changer,80,81,1.2,1,2,4.0,1.3,1.2,曝光→点击,33.8,B0CNX6MMK3,BEILIHART,样本不足,—,,25,,—,—
儿童·Q4新品,karaoke machine for girls,80,80,0.0,0,1,0.4,0.4,0.0,点击→成交,26.4,B0DP2WQRLJ,YLL,样本不足,—,,28,,—,—
放弃·他人品牌词,singsation karaoke machine,78,78,0.0,0,10,8.9,1.4,0.0,曝光→点击,77.9,B07J5Q4P38,Singsation,样本不足,—,,78,,—,—
次选/机会池,karaoke machine 4 microphones,78,78,0.0,0,5,3.4,1.6,0.0,曝光→点击,39.3,B0FMY497F2,voijump,样本不足,—,,94,,—,—
次选/机会池,karaoke machine amazon,78,80,2.5,2,8,12.8,5.1,2.5,曝光→点击,40.8,B0D1VJMSQG,CYY,样本不足,S2,246,64,16.6,毛香明,薄利·冲量看7%线
次选/机会池,professional karaoke machine for adults,77,87,11.5,10,12,12.6,13.3,11.5,点击→成交,22.4,B0CQT9DK1M,Ikarao,样本不足,X2,349,306,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke system for home,77,85,9.4,8,12,11.1,7.8,9.4,曝光→点击,26.8,B0F9WHHLKL,SunTrok,样本不足,X2,341,129,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,frozen karaoke machine for girls,77,77,0.0,0,1,0.5,0.2,0.0,曝光→点击,78.6,B0864QFCCT,eKids,样本不足,—,,24,,—,—
次选/机会池,magic mic karaoke,75,76,1.3,1,12,6.8,4.3,1.3,点击→成交,42.3,B08D7X9D2D,MAGIC SING,样本不足,S1,279,180,27.0,赵健宏,毛利可撑
次选/机会池,karaoke machine for adults for tv,75,84,10.7,9,12,13.9,8.3,10.7,曝光→点击,40.5,B0D1VJMSQG,PPMIC,样本不足,X2,332,89,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,microphone karaoke wireless,75,76,1.3,1,1,0.5,0.9,1.3,曝光→点击,33.6,B071SGMQ7V,BONAOK,→稳,—,,23,,—,—
次选/机会池,karaoke machine mini,75,75,0.0,0,3,0.3,0.3,0.0,点击→成交,29.1,B0CNX6MMK3,BEILIHART,样本不足,—,,19,,—,—
放弃·他人品牌词,magic sing karaoke,74,77,3.9,3,12,12.1,4.7,3.9,曝光→点击,51.6,B08D7X9D2D,MAGIC SING,→稳,S2,223,459,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,singing machine karaoke system,70,72,2.8,2,12,10.1,4.3,2.8,曝光→点击,50.9,B0DFPG9PJN,Singing Machine,样本不足,S2,223,124,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke set for adults,69,72,4.2,3,12,12.0,9.1,4.2,点击→成交,41.5,B0D1VJMSQG,CYY,样本不足,S2,246,74,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke system for smart tv,68,70,2.9,2,10,13.5,6.2,2.9,曝光→点击,33.3,B0F9WHHLKL,SunTrok,样本不足,X2,359,111,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke soundbar,67,67,0.0,0,4,2.8,0.9,0.0,曝光→点击,65.6,B0F9WHHLKL,SunTrok,样本不足,—,,110,,—,—
儿童·Q4新品,karaoke machine for kids with screen,65,68,4.4,3,7,8.3,6.0,4.4,曝光→点击,38.0,B0D1VJMSQG,CYY,样本不足,—,,59,,—,—
次选/机会池,karaoke bluetooth speaker,64,64,0.0,0,6,1.8,1.5,0.0,点击→成交,24.8,B0D1VJMSQG,CYY,样本不足,—,,77,,—,—
次选/机会池,karaoke mixer with wireless microphone,63,63,0.0,0,4,1.8,0.3,0.0,曝光→点击,28.5,B01N6448Q4,FIFINE,样本不足,—,,82,,—,—
次选/机会池,portable karaoke machine adults,63,64,1.6,1,3,12.6,7.7,1.6,点击→成交,41.3,B0D1VJMSQG,CYY,样本不足,S2,223,58,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,microfono para karaoke,60,60,0.0,0,2,0.4,0.2,0.0,曝光→点击,22.9,B071SGMQ7V,BONAOK,样本不足,—,,21,,—,—
数据薄·观察,karaoke machine 3 microphones,60,60,0.0,0,2,2.6,1.1,0.0,曝光→点击,46.6,B0FHPVGQF6,IROO,样本不足,—,,64,,—,—
放弃·他人品牌词,carpool karaoke microphone,59,59,0.0,0,1,0.3,0.1,0.0,曝光→点击,59.6,B0971GLHR9,Singing Machine,样本不足,—,,18,,—,—
次选/机会池,karaoke machine with stand,59,60,1.7,1,12,6.5,2.9,1.7,曝光→点击,33.4,B07J5Q4P38,Singing Machine,样本不足,—,,119,,—,—
次选/机会池,tv karaoke system,59,65,9.2,6,12,13.3,5.4,9.2,曝光→点击,35.4,B0F9WHHLKL,SunTrok,样本不足,S2,279,94,16.6,毛香明,薄利·冲量看7%线
次选/机会池,bluetooth karaoke machine with screen,59,67,11.9,8,8,16.3,9.9,11.9,曝光→点击,38.9,B0D1VJMSQG,CYY,样本不足,X2,332,102,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,best karaoke machine for kids,58,58,0.0,0,2,2.3,1.5,0.0,点击→成交,40.8,B0D1VJMSQG,CYY,样本不足,—,,39,,—,—
次选/机会池,bluetooth karaoke machine for adults,57,58,1.7,1,5,7.8,5.7,1.7,点击→成交,35.9,B0D1VJMSQG,CYY,样本不足,—,,74,,—,—
数据薄·观察,microphone for karaoke machine,57,57,0.0,0,1,0.7,0.6,0.0,点击→成交,41.1,B08QSJMHKW,YIOWNER,样本不足,—,,12,,—,—
次选/机会池,karaoke set up for smart tv,56,59,5.1,3,12,14.4,9.4,5.1,曝光→点击,38.5,B0D1VJMSQG,PPMIC,样本不足,S2,289,90,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,hello kitty karaoke machine,56,56,0.0,0,1,1.4,0.4,0.0,曝光→点击,39.0,B014DXWF5C,Hello Kitty,样本不足,—,,32,,—,—
数据薄·观察,karaoke microphone with speaker,55,55,0.0,0,2,1.0,0.3,0.0,曝光→点击,35.7,B071SGMQ7V,BONAOK,样本不足,—,,29,,—,—
次选/机会池,karaoke machine portable adults,55,58,5.2,3,5,13.4,7.6,5.2,曝光→点击,43.8,B0D1VJMSQG,CYY,样本不足,S2,223,59,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke machine on clearance,55,59,6.8,4,6,7.9,6.5,6.8,曝光→点击,34.3,B0D1VJMSQG,CYY,样本不足,S2,223,68,16.6,毛香明,薄利·冲量看7%线
次选/机会池,highest rated karaoke machine,54,60,10.0,6,12,19.5,15.5,10.0,点击→成交,47.1,B0D86TTLGZ,PPMIC,样本不足,X2,349,114,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,bluetooth speaker karaoke,52,52,0.0,0,5,1.8,1.2,0.0,点击→成交,20.0,B0D1VJMSQG,CYY,样本不足,—,,74,,—,—
次选/机会池,bluetooth karaoke speaker,52,53,1.9,1,3,1.5,1.2,1.9,曝光→点击,22.2,B0DPMV795H,BEILIHART,样本不足,S2,299,66,16.6,毛香明,薄利·冲量看7%线
次选/机会池,karaoke with autotune,51,57,10.5,6,12,21.2,21.2,10.5,点击→成交,50.1,B0D86TTLGZ,PPMIC,样本不足,S1,262,129,27.0,赵健宏,毛利可撑
数据薄·观察,micrófonos inalámbricos para karaoke,51,51,0.0,0,2,0.8,1.0,0.0,点击→成交,22.9,B0CNVVTF3P,ECHOMUSSY,样本不足,—,,39,,—,—
儿童·Q4新品,best rated karaoke machine for kids,50,50,0.0,0,2,3.5,0.6,0.0,曝光→点击,44.1,B0D1VJMSQG,CYY,样本不足,—,,43,,—,—
数据薄·观察,wireless bluetooth karaoke microphone,50,50,0.0,0,1,1.3,0.5,0.0,曝光→点击,43.4,B071SGMQ7V,BONAOK,样本不足,—,,21,,—,—
次选/机会池,family karaoke machine,49,51,3.9,2,6,11.5,6.1,3.9,曝光→点击,45.9,B0D1VJMSQG,CYY,样本不足,—,,59,,—,—
守·领先词,karaoke with screen,48,59,18.6,11,12,19.4,18.4,18.6,曝光→点击,29.4,B0D1VJMSQG,Ikarao,样本不足,S2,274,159,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,bonaok karaoke microphone,47,47,0.0,0,1,0.3,0.2,0.0,点击→成交,67.0,B071SGMQ7V,BONAOK,→稳,—,,19,,—,—
次选/机会池,karaoke that connects to smart tv,46,49,6.1,3,11,16.7,9.4,6.1,曝光→点击,43.4,B0D1VJMSQG,PPMIC,样本不足,—,,79,,—,—
次选/机会池,karaoke system connect to tv,45,48,6.2,3,5,16.9,8.9,6.2,曝光→点击,39.5,B0D1VJMSQG,CYY,样本不足,S2,223,79,16.6,毛香明,薄利·冲量看7%线
守·领先词,professional karaoke systems,44,55,20.0,11,10,12.9,10.0,20.0,曝光→点击,27.2,B0BJTR5N1F,SINGTRONIC,样本不足,X2,349,389,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,chinese karaoke machine,41,44,6.8,3,12,9.9,7.6,6.8,曝光→点击,40.5,B0FRDP2RQM,Arlyeef,样本不足,X2,360,608,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,teen karaoke machine,41,41,0.0,0,1,2.7,1.3,0.0,曝光→点击,34.7,B0D1VJMSQG,CYY,样本不足,—,,38,,—,—
数据薄·观察,karaoke songs with lyrics,39,39,0.0,0,12,9.1,4.1,0.0,曝光→点击,55.3,B00OKGHS78,—,↑升,—,,20,,—,—
数据薄·观察,inandon karaoke,39,39,0.0,0,12,4.5,0.8,0.0,曝光→点击,50.0,B0D1867WRL,InAndOn,样本不足,—,,628,,—,—
次选/机会池,karaoke machine clearance sale,39,43,9.3,4,7,9.0,6.5,9.3,曝光→点击,31.9,B0D1VJMSQG,CYY,样本不足,S2,229,66,16.6,毛香明,薄利·冲量看7%线
放弃·他人品牌词,bose karaoke system,38,41,7.3,3,12,9.5,4.0,7.3,曝光→点击,48.8,B0BZWT5FRR,BOSE,样本不足,X2,341,699,18.6,赵健宏,薄利·冲量看7%线
次选/机会池,karaoke with lyrics,37,41,9.8,4,12,23.7,24.6,9.8,点击→成交,64.4,B0CCJDG68C,VOSOCO,样本不足,S2,246,114,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,karaoke machine for families,34,36,5.6,2,4,14.9,7.4,5.6,曝光→点击,50.6,B0D1VJMSQG,CYY,样本不足,S2,234,67,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,king lucky karaoke machine,34,34,0.0,0,1,5.3,0.5,0.0,曝光→点击,77.7,B0CFLBLPTN,Kinglucky,样本不足,—,,24,,—,—
数据薄·观察,the best karaoke system,33,36,8.3,3,9,21.6,14.2,8.3,曝光→点击,52.0,B0D1VJMSQG,CYY,样本不足,S2,223,149,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,karaoke machine voice changer,31,31,0.0,0,1,6.7,0.7,0.0,曝光→点击,50.7,B0CNX6MMK3,BEILIHART,样本不足,—,,23,,—,—
数据薄·观察,professional karaoke system,27,32,15.6,5,12,9.1,8.4,15.6,曝光→点击,22.0,B0BJTR5N1F,Ikarao,样本不足,S2,279,515,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,micrófono para karaoke,25,25,0.0,0,1,0.9,0.3,0.0,曝光→点击,22.1,B0CNVVTF3P,BONAOK,样本不足,—,,21,,—,—
数据薄·观察,karaoke that hooks up to the tv,24,29,17.2,5,5,9.8,6.6,17.2,曝光→点击,43.2,B0D86TTLGZ,PPMIC,样本不足,S2,223,75,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,karaoke gifts,24,24,0.0,0,2,0.4,1.2,0.0,点击→成交,28.2,B0827DTBS4,Game That Song,样本不足,—,,19,,—,—
数据薄·观察,seenda karaoke machine,23,23,0.0,0,5,9.6,1.6,0.0,曝光→点击,48.2,B0D1VJMSQG,CYY,样本不足,—,,67,,—,—
守·品牌词,ikarao smart karaoke machine for adults,21,212,89.6,190,12,35.4,84.7,89.6,点击→成交,70.9,—,Ikarao,样本不足,X2,332,332,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,karaoke with lyrics on screen,21,26,19.2,5,10,35.9,15.9,19.2,曝光→点击,24.5,B0D1VJMSQG,Ikarao,样本不足,S2,236,129,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,videoke karaoke machine,21,23,8.7,2,9,21.9,12.5,8.7,曝光→点击,76.5,B0CCJDG68C,VOSOCO,样本不足,—,,101,,—,—
数据薄·观察,joyc karaoke machine,19,19,0.0,0,2,5.5,0.5,0.0,曝光→点击,65.3,B0D1VJMSQG,CYY,样本不足,—,,55,,—,—
数据薄·观察,micrófono inalámbrico para karaoke,18,18,0.0,0,1,1.1,1.0,0.0,点击→成交,22.8,B0CNVVTF3P,ECHOMUSSY,样本不足,—,,29,,—,—
数据薄·观察,mini portable karaoke machine,17,18,5.6,1,1,1.4,1.7,5.6,曝光→点击,43.6,B0CNX6MMK3,BEILIHART,样本不足,S2,246,19,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,blume karaoke,17,17,0.0,0,11,6.9,4.1,0.0,点击→成交,87.1,B0FRDP2RQM,Arlyeef,样本不足,—,,369,,—,—
数据薄·观察,ms rachel karaoke machine,17,17,0.0,0,1,6.2,0.7,0.0,曝光→点击,94.4,B0DQ97MHWD,eKids,样本不足,—,,33,,—,—
数据薄·观察,black friday karaoke,17,17,0.0,0,1,3.5,2.4,0.0,点击→成交,35.9,B0D1VJMSQG,CYY,样本不足,—,,53,,—,—
儿童·Q4新品,portable karaoke machine for kids,15,15,0.0,0,1,0.3,1.2,0.0,点击→成交,26.6,B0CHS2VNHC,YLL,样本不足,—,,21,,—,—
数据薄·观察,wireless karaoke mic,15,15,0.0,0,1,0.9,0.9,0.0,点击→成交,36.4,B071SGMQ7V,BONAOK,样本不足,—,,29,,—,—
数据薄·观察,korean karaoke machine,14,21,33.3,7,12,16.6,20.8,33.3,曝光→点击,48.9,B0DMV4RBLW,Ikarao,样本不足,X2,332,349,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,karaoke mike,13,13,0.0,0,1,0.8,1.6,0.0,点击→成交,43.3,B071SGMQ7V,BONAOK,样本不足,—,,19,,—,—
数据薄·观察,high end karaoke machine,12,23,47.8,11,8,21.8,27.8,47.8,曝光→点击,40.5,B0D86TTLGZ,Ikarao,样本不足,X2,366,257,18.6,赵健宏,薄利·冲量看7%线
数据薄·观察,karaoke bluetooth microphone,12,13,7.7,1,1,0.2,0.5,7.7,曝光→点击,31.4,B071SGMQ7V,BONAOK,样本不足,—,,34,,—,—
放弃·他人品牌词,karaoke set jbl,12,13,7.7,1,2,6.6,3.1,7.7,曝光→点击,47.5,B0DXR9KD6Z,JBL,样本不足,—,,324,,—,—
数据薄·观察,retro karaoke machine,11,11,0.0,0,1,3.8,1.7,0.0,曝光→点击,58.4,B0CWKPGX6W,Niaufux,样本不足,—,,53,,—,—
守·品牌词,ikaroo karaoke machine,10,208,94.7,197,12,41.0,86.8,94.7,点击→成交,71.1,—,Ikarao,样本不足,X2,359,289,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,karaoke for kids 8-12,10,10,0.0,0,1,0.3,1.5,0.0,点击→成交,24.2,B0D1VJMSQG,CYY,样本不足,—,,24,,—,—
守·品牌词,ikaro karaoke machine,8,91,90.1,82,12,36.7,85.2,90.1,点击→成交,66.8,—,Ikarao,样本不足,S2,249,299,16.6,毛香明,薄利·冲量看7%线
数据薄·观察,microfono karaoke,8,8,0.0,0,1,0.7,1.1,0.0,点击→成交,27.0,B071SGMQ7V,BONAOK,样本不足,—,,20,,—,—
放弃·他人品牌词,jbl bluetooth speaker karaoke,7,7,0.0,0,2,2.0,0.6,0.0,曝光→点击,30.8,B08HG2YC65,JBL,样本不足,—,,314,,—,—
放弃·他人品牌词,bose karaoke speaker,7,7,0.0,0,4,3.5,1.1,0.0,曝光→点击,51.8,B0BZWT5FRR,BOSE,样本不足,—,,699,,—,—
儿童·Q4新品,kids karaoke machines,7,7,0.0,0,1,2.1,2.8,0.0,点击→成交,35.2,B0DCZ9R59H,ultramic,样本不足,—,,32,,—,—
数据薄·观察,karaoke amplifier with mixer,7,7,0.0,0,1,0.9,0.2,0.0,曝光→点击,26.2,B013AVFXQQ,Pyle,样本不足,—,,174,,—,—
数据薄·观察,hamax 02 karaoke microphone,7,8,12.5,1,2,3.8,4.4,12.5,曝光→点击,78.5,B0D1YH324Q,Yoidesu,→稳,—,,125,,—,—
守·品牌词,ikarao break x2 karaoke machine,5,160,96.9,155,12,39.4,87.7,96.9,点击→成交,77.4,—,Ikarao,样本不足,X2,349,349,18.6,赵健宏,薄利·冲量看7%线
儿童·Q4新品,boys karaoke machine,5,5,0.0,0,1,0.8,1.7,0.0,点击→成交,30.6,B0F183MXQ8,BEILIHART,样本不足,—,,23,,—,—
数据薄·观察,karaoke songs,4,4,0.0,0,1,3.8,3.5,0.0,点击→成交,51.1,B0G3TLY4ZW,—,样本不足,—,,29,,—,—
数据薄·观察,k9 m karaoke machine,4,4,0.0,0,2,6.0,0.5,0.0,曝光→点击,91.3,B0D1VJMSQG,CYY,样本不足,—,,53,,—,—
数据薄·观察,girls karaoke machine age 10-12,2,3,33.3,1,1,0.6,3.2,33.3,曝光→点击,25.4,B0D1VJMSQG,CYY,样本不足,—,,29,,—,—
数据薄·观察,karaoke youtube,2,2,0.0,0,6,27.6,32.5,0.0,点击→成交,76.5,B0F9WHHLKL,Ikarao,样本不足,—,,94,,—,—
数据薄·观察,karaoke machine for tween,2,3,33.3,1,1,3.2,5.6,33.3,曝光→点击,34.2,B0D1VJMSQG,CYY,样本不足,—,,44,,—,—
